customer_id,first_name,last_name,gender,age,height_cm,weight_kg,bmi,size_code,recommended_size
65,Lina,Durand,F,45,168.0,49.0,17.4,1,XS
66,Gabriel,Bertrand,M,28,185.3,71.1,20.7,3,M
67,Jade,Dubois,F,37,166.7,66.9,24.1,2,S
68,Léa,Thomas,F,47,166.7,50.1,18.0,1,XS
69,Noah,Lefebvre,M,49,174.6,79.7,26.1,3,M
70,Tom,Garcia,M,32,163.4,88.4,33.1,4,L
71,Emma,Vincent,F,33,168.9,58.7,20.6,2,S
72,Eva,David,F,50,171.4,45,15.3,1,XS
73,Inès,Richard,F,48,155.7,65.6,27.1,1,XS
74,Sarah,Dubois,F,35,161.6,47.8,18.3,1,XS
75,Arthur,Simon,M,38,180.4,73.2,22.5,3,M
76,Noah,Durand,M,22,184.0,67.5,19.9,3,M
77,Rose,Bernard,F,31,169.2,53.2,18.6,1,XS
78,Maël,Fournier,M,42,160.0,50.0,19.5,1,XS
79,Eva,Lefebvre,F,44,155.7,57.5,23.7,1,XS
80,Alice,Moreau,F,45,152.8,52.1,22.3,1,XS
81,Camille,Richard,F,47,182.0,48.8,14.7,1,XS
82,Hugo,Garcia,M,26,174.5,80.7,26.5,3,M
83,Rose,Simon,F,31,160.3,63.3,24.6,2,S
84,Lina,Thomas,F,48,162.4,72.1,27.3,2,S
85,Alice,Thomas,F,20,166.4,45,16.3,1,XS
86,Jules,Robert,M,48,179.4,69.1,21.5,2,S
87,Nathan,Moreau,M,41,183.1,89.1,26.6,4,L
88,Arthur,Petit,M,55,174.3,85.4,28.1,3,M
89,Rose,Durand,F,22,155.7,51.7,21.3,1,XS
90,Zoé,Morel,F,25,176.0,64.3,20.8,2,S
91,Adam,Vincent,M,45,176.5,72.5,23.3,3,M
92,Zoé,Bertrand,F,24,165.2,53.2,19.5,1,XS
93,Camille,Robert,F,45,169.5,70.8,24.6,2,S
94,Anna,Garcia,F,55,158.7,59.0,23.4,2,S
95,Arthur,David,M,33,178.0,61.7,19.5,2,S
96,Zoé,Simon,F,29,160.9,52.6,20.3,1,XS
97,Chloé,Moreau,F,35,158.6,57.3,22.8,1,XS
98,Anna,Vincent,F,33,170.5,56.3,19.4,1,XS
99,Anna,Martin,F,23,164.2,69.8,25.9,2,S
100,Anna,Vincent,F,51,175.6,45,14.6,2,S
